table_name,column_name,data_type
assumption_pattern_matches,id,integer
assumption_pattern_matches,assumption_key,character varying
assumption_pattern_matches,assumption_text,text
assumption_pattern_matches,cost_impact,text
assumption_pattern_matches,solution_action,text
assumption_pattern_matches,mirror_question,text
assumption_pattern_matches,shock_value,integer
assumption_pattern_matches,revenue_stage,character varying
assumption_pattern_matches,trigger_count,integer
assumption_performance,assumption_id,uuid
assumption_performance,date,date
assumption_performance,business_context,text
assumption_performance,times_triggered,integer
assumption_performance,times_engaged,integer
assumption_performance,times_accurate,integer
assumption_performance,times_shared,integer
assumption_performance,avg_confidence,numeric
assumption_usage_log,id,integer
assumption_usage_log,user_id,text
assumption_usage_log,assumption_id,integer
assumption_usage_log,assumption_pattern_type,character varying
assumption_usage_log,confidence_score,numeric
assumption_usage_log,shock_value,integer
assumption_usage_log,delivered_at,timestamp without time zone
assumption_usage_log,onboarding_context,boolean
assumption_usage_log,user_stage,character varying
assumption_usage_log,weight_at_delivery,numeric
assumption_usage_log,session_id,text
assumption_usage_log,user_engaged,boolean
assumption_usage_log,effectiveness_pending,boolean
assumption_usage_log,created_at,timestamp without time zone
behavioral_assumptions,assumption_id,uuid
behavioral_assumptions,assumption_key,character varying
behavioral_assumptions,assumption_category,character varying
behavioral_assumptions,assumption_name,character varying
behavioral_assumptions,universal_truth,text
behavioral_assumptions,personal_expression,text
behavioral_assumptions,linguistic_patterns,jsonb
behavioral_assumptions,contextual_triggers,jsonb
behavioral_assumptions,confidence_threshold,numeric
behavioral_assumptions,prediction_template,text
behavioral_assumptions,specificity_rules,jsonb
behavioral_assumptions,emotional_hooks,ARRAY
behavioral_assumptions,intervention_type,character varying
behavioral_assumptions,action_prompt,text
behavioral_assumptions,urgency_level,integer
behavioral_assumptions,base_accuracy,numeric
behavioral_assumptions,accuracy_by_segment,jsonb
behavioral_assumptions,personalization_threshold,integer
behavioral_assumptions,engagement_rate,numeric
behavioral_assumptions,action_rate,numeric
behavioral_assumptions,share_rate,numeric
behavioral_assumptions,created_at,timestamp with time zone
behavioral_assumptions,updated_at,timestamp with time zone
behavioral_assumptions,usage_count,integer
behavioral_assumptions,last_major_revision,timestamp with time zone
behavioral_assumptions,business_model_context,jsonb
behavioral_assumptions,trigger_business_signals,ARRAY
behavioral_assumptions,variable_templates,jsonb
behavioral_predictions,id,integer
behavioral_predictions,user_id,text
behavioral_predictions,prediction_type,character varying
behavioral_predictions,predicted_behavior,jsonb
behavioral_predictions,confidence,double precision
behavioral_predictions,time_window,character varying
behavioral_predictions,optimal_intervention,jsonb
behavioral_predictions,prediction_basis,jsonb
behavioral_predictions,created_at,timestamp without time zone
behavioral_predictions,outcome_verified,boolean
behavioral_predictions,accuracy_score,double precision
conversation_insights,id,uuid
conversation_insights,user_id,uuid
conversation_insights,message_id,uuid
conversation_insights,energy_mentioned,integer
conversation_insights,confidence_mentioned,double precision
conversation_insights,specific_wins,ARRAY
conversation_insights,specific_blocks,ARRAY
conversation_insights,message_depth,integer
conversation_insights,help_seeking_level,integer
conversation_insights,created_at,timestamp without time zone
daily_journey_entries,id,uuid
daily_journey_entries,user_id,uuid
daily_journey_entries,entry_date,date
daily_journey_entries,micro_wins,ARRAY
daily_journey_entries,micro_struggles,ARRAY
daily_journey_entries,energy_delta,integer
daily_journey_entries,did_one_thing_better,boolean
daily_journey_entries,maintained_yesterday_progress,boolean
daily_journey_entries,learned_something_new,boolean
daily_journey_entries,felt_momentum,boolean
daily_journey_entries,saw_pattern_connection,boolean
daily_journey_entries,created_at,timestamp without time zone
intelligence_synthesis,id,integer
intelligence_synthesis,user_id,text
intelligence_synthesis,synthesis_date,timestamp without time zone
intelligence_synthesis,behavioral_dna,jsonb
intelligence_synthesis,growth_formula,jsonb
intelligence_synthesis,blind_spots,jsonb
intelligence_synthesis,breakthrough_recipe,jsonb
intelligence_synthesis,kryptonite,jsonb
intelligence_synthesis,superpower,jsonb
intelligence_synthesis,next_level_unlock,jsonb
intelligence_synthesis,intervention_playbook,jsonb
intelligence_synthesis,prediction_model,jsonb
intervention_deliveries,id,uuid
intervention_deliveries,intervention_id,integer
intervention_deliveries,user_id,text
intervention_deliveries,delivered_at,timestamp without time zone
intervention_deliveries,message_sent,text
